time	V(highside)	V(highside)-V(out)	V(lowside)	V(out)
1.379106543862692e-09	1.441582e-08	4.953638e-11	5.987632e-11	1.436629e-08
1.379110639862692e-09	1.442132e-08	4.803091e-11	6.140605e-11	1.437329e-08
1.379118831862692e-09	1.440960e-08	5.148326e-11	5.807368e-11	1.435812e-08
1.379135215862692e-09	1.440661e-08	5.245848e-11	5.720291e-11	1.435415e-08
1.379167983862692e-09	1.440677e-08	5.262013e-11	5.720092e-11	1.435415e-08
1.379233519862692e-09	1.440650e-08	5.301004e-11	5.705616e-11	1.435349e-08
1.379364591862692e-09	1.440758e-08	5.314327e-11	5.726122e-11	1.435444e-08
1.379626735862692e-09	1.440812e-08	5.345235e-11	5.729619e-11	1.435467e-08
1.380151023862692e-09	1.440856e-08	5.361755e-11	5.732730e-11	1.435494e-08
1.381199599862692e-09	1.439887e-08	5.655210e-11	5.451586e-11	1.434231e-08
1.381200111862692e-09	1.439556e-08	5.749534e-11	5.358556e-11	1.433807e-08
1.381201135862692e-09	1.439663e-08	5.717471e-11	5.389181e-11	1.433946e-08
1.381203183862692e-09	1.441194e-08	5.274980e-11	5.821795e-11	1.435919e-08
1.381203695862692e-09	1.441315e-08	5.259349e-11	5.851695e-11	1.436055e-08
1.381203823862692e-09	1.442159e-08	5.024425e-11	6.088389e-11	1.437135e-08
1.381204079862692e-09	1.446669e-08	3.775380e-11	7.350692e-11	1.442894e-08
1.381204143862692e-09	1.448582e-08	3.248335e-11	7.885676e-11	1.445334e-08
1.381204271862692e-09	1.449768e-08	2.916778e-11	8.218107e-11	1.446851e-08
1.381204527862692e-09	1.442386e-08	4.968115e-11	6.150118e-11	1.437418e-08
1.381205039862692e-09	1.431604e-08	7.974066e-11	3.127845e-11	1.423630e-08
1.381206063862692e-09	1.429942e-08	8.404211e-11	2.670424e-11	1.421538e-08
1.381206319862692e-09	1.391245e-08	1.927161e-10	-8.194673e-11	1.371974e-08
1.381206327862692e-09	1.473988e-09	3.671982e-09	-3.571498e-09	-2.197994e-09
1.381206329862692e-09	-6.702098e-09	5.966283e-09	-5.866857e-09	-1.266838e-08
1.381206333862692e-09	-1.106287e-08	7.200306e-09	-7.093362e-09	-1.826318e-08
1.381206341862692e-09	6.588538e-09	2.253578e-09	-2.139289e-09	4.334960e-09
1.381206357862692e-09	1.797813e-08	-9.489121e-10	1.059649e-09	1.892704e-08
1.381206389862692e-09	1.533546e-08	-2.080380e-10	3.178898e-10	1.554350e-08
1.381206453862692e-09	1.325034e-08	3.752634e-10	-2.670890e-10	1.287507e-08
1.381206469862692e-09	1.498373e-08	-9.947421e-11	2.169891e-10	1.508321e-08
1.381206473862692e-09	1.516975e-08	-1.257394e-10	2.635262e-10	1.529549e-08
1.381206474862691e-09	5.989626e-09	2.462955e-09	-2.316485e-09	3.526671e-09
1.381206476862692e-09	-1.712063e-08	8.957237e-09	-8.806515e-09	-2.607787e-08
1.381206480862692e-09	-1.775478e-08	9.114887e-09	-8.980082e-09	-2.686967e-08
1.381206488862691e-09	6.056847e-09	2.406634e-09	-2.289369e-09	3.650213e-09
1.381206504862691e-09	1.968756e-08	-1.428749e-09	1.539623e-09	2.111631e-08
1.381206508862691e-09	2.049196e-08	-1.655357e-09	1.765643e-09	2.214732e-08
1.381206516862691e-09	1.965361e-08	-1.421471e-09	1.530577e-09	2.107508e-08
1.381206532862691e-09	1.721695e-08	-7.429044e-10	8.476372e-10	1.795985e-08
1.381206536862691e-09	1.740595e-08	-7.964616e-10	9.008098e-10	1.820241e-08
1.381206544862691e-09	3.912544e-09	2.994434e-09	-2.888330e-09	9.181093e-10
1.381206546862691e-09	-3.288360e-09	5.011279e-09	-4.909081e-09	-8.299639e-09
1.381206550862691e-09	-4.972921e-09	5.474786e-09	-5.379980e-09	-1.044771e-08
1.381206558862691e-09	1.013194e-08	1.242159e-09	-1.140726e-09	8.889777e-09
1.381206574862691e-09	1.721549e-08	-7.385417e-10	8.463781e-10	1.795404e-08
1.381206578862691e-09	1.740275e-08	-7.933991e-10	8.994551e-10	1.819615e-08
1.381206586862691e-09	1.759018e-08	-8.481731e-10	9.525482e-10	1.843835e-08
1.381206602862691e-09	1.667394e-08	-5.885781e-10	6.947712e-10	1.726251e-08
1.381206634862691e-09	1.532599e-08	-2.072440e-10	3.156671e-10	1.553324e-08
1.381206698862691e-09	1.478012e-08	-5.318945e-11	1.622216e-10	1.483331e-08
1.381206826862691e-09	1.466861e-08	-2.062439e-11	1.306334e-10	1.468923e-08
1.381207082862691e-09	1.443729e-08	4.517364e-11	6.549459e-11	1.439211e-08
1.381207594862691e-09	1.437053e-08	6.361134e-11	4.681902e-11	1.430692e-08
1.381208618862691e-09	1.439208e-08	5.748024e-11	5.288918e-11	1.433460e-08
1.381210666862691e-09	1.439652e-08	5.631851e-11	5.411489e-11	1.434020e-08
1.381211178862691e-09	1.437912e-08	6.119372e-11	4.923384e-11	1.431793e-08
1.381212202862691e-09	1.434987e-08	6.929213e-11	4.105215e-11	1.428058e-08
1.381212458862691e-09	1.430055e-08	8.301271e-11	2.723633e-11	1.421754e-08
1.381212970862691e-09	1.422244e-08	1.046807e-10	5.371526e-12	1.411776e-08
1.381213994862691e-09	1.430333e-08	8.188117e-11	2.811621e-11	1.422145e-08
1.381216042862691e-09	1.441057e-08	5.195666e-11	5.819295e-11	1.435862e-08
1.381216554862691e-09	1.440284e-08	5.416467e-11	5.601299e-11	1.434867e-08
1.381217578862691e-09	1.439503e-08	5.630341e-11	5.383456e-11	1.433873e-08
1.381219626862691e-09	1.441587e-08	5.033574e-11	5.970913e-11	1.436553e-08
1.381223722862691e-09	1.442675e-08	4.738787e-11	6.273220e-11	1.437936e-08
1.381224746862691e-09	1.438082e-08	6.029399e-11	4.983338e-11	1.432053e-08
1.381225002862691e-09	1.433176e-08	7.403234e-11	3.606889e-11	1.425773e-08
1.381225514862691e-09	1.423131e-08	1.021272e-10	7.896921e-12	1.412918e-08
1.381225642862691e-09	1.423051e-08	1.023484e-10	7.674129e-12	1.412816e-08
1.381225898862691e-09	1.434574e-08	6.955947e-11	4.012916e-11	1.427618e-08
1.381225962862691e-09	1.441542e-08	4.999023e-11	5.969399e-11	1.436543e-08
1.381226090862691e-09	1.445930e-08	3.813749e-11	7.191020e-11	1.442116e-08
1.381226346862691e-09	1.433935e-08	7.213963e-11	3.816247e-11	1.426721e-08
1.381226858862691e-09	1.427293e-08	9.042189e-11	1.960083e-11	1.418251e-08
1.381226986862691e-09	1.426248e-08	9.349055e-11	1.663982e-11	1.416899e-08
1.381227242862691e-09	1.434598e-08	7.021139e-11	4.005247e-11	1.427577e-08
1.381227306862691e-09	1.441567e-08	5.073364e-11	5.959936e-11	1.436493e-08
1.381227434862691e-09	1.409557e-08	1.399281e-10	-3.012679e-11	1.395564e-08
1.381227466862691e-09	1.484545e-08	-6.948575e-11	1.801743e-10	1.491494e-08
1.381227474862691e-09	7.800967e-09	1.916730e-09	-1.799574e-09	5.884237e-09
1.381227476862691e-09	3.825626e-10	4.000659e-09	-3.882714e-09	-3.618096e-09
1.381227480862691e-09	-1.400607e-08	8.000255e-09	-7.913851e-09	-2.200633e-08
1.381227481862691e-09	-1.367978e-08	7.914140e-09	-7.823438e-09	-2.159392e-08
1.381227482862691e-09	-6.383019e-09	5.902022e-09	-5.782703e-09	-1.228504e-08
1.381227483862691e-09	-2.172327e-10	4.181468e-09	-4.053823e-09	-4.398701e-09
1.381227484862691e-09	-8.443952e-09	6.475456e-09	-6.360215e-09	-1.491941e-08
1.381227486862691e-09	-2.487137e-08	1.108943e-08	-1.097299e-08	-3.596080e-08
1.381227487862691e-09	-2.076672e-08	9.939029e-09	-9.820955e-09	-3.070575e-08
1.381227489862691e-09	-1.331080e-08	7.830739e-09	-7.724239e-09	-2.114153e-08
1.381227493862691e-09	-8.721706e-09	6.534457e-09	-6.434012e-09	-1.525616e-08
1.381227501862691e-09	8.532924e-09	1.702555e-09	-1.592098e-09	6.830368e-09
1.381227517862691e-09	1.624954e-08	-4.689316e-10	5.756133e-10	1.671848e-08
1.381227521862691e-09	1.633165e-08	-4.915659e-10	5.985725e-10	1.682321e-08
1.381227529862691e-09	1.703085e-08	-6.854854e-10	7.943639e-10	1.771633e-08
1.381227545862691e-09	1.510184e-08	-1.439808e-10	2.527657e-10	1.524582e-08
1.381227577862691e-09	1.402347e-08	1.561595e-10	-4.943613e-11	1.386732e-08
1.381227641862691e-09	1.338922e-08	3.359411e-10	-2.278886e-10	1.305328e-08
1.381227657862691e-09	1.315306e-08	4.025118e-10	-2.942529e-10	1.275055e-08
1.381227689862691e-09	1.307066e-08	4.257323e-10	-3.174021e-10	1.264493e-08
1.381227753862691e-09	1.348780e-08	3.095328e-10	-2.004738e-10	1.317827e-08
1.381227881862691e-09	1.415033e-08	1.243130e-10	-1.462199e-11	1.402602e-08
1.381228137862691e-09	1.446662e-08	3.550937e-11	7.418540e-11	1.443111e-08
1.381228201862691e-09	1.447771e-08	3.218226e-11	7.734522e-11	1.444553e-08
1.381228329862691e-09	1.445646e-08	3.766853e-11	7.148338e-11	1.441879e-08
1.381228585862691e-09	1.433667e-08	7.110668e-11	3.789253e-11	1.426556e-08
1.381229097862691e-09	1.428751e-08	8.495871e-11	2.408544e-11	1.420255e-08
1.381230121862691e-09	1.434179e-08	6.966516e-11	3.934619e-11	1.427213e-08
1.381232169862691e-09	1.438491e-08	5.752376e-11	5.146891e-11	1.432739e-08
